"tv","glkey","tnameH","seasonGrade","gameDate","bookmarkFlag","scoreA","challengeSq","tnameA","tnameFH","scoreH","gameStart","gameTime","logoA","weekDay","logoH","tcodeA","isEnded","artcSq","gameNo","tcodeH","tvCode","gameEnd","seasonCode","stadiumnameEn","seasonCategoryName","gmkey","stadiumname","tnameFA","isStarted","replayUrl","seasonName1","stadiumnameF","gameCode","seasonCategory","playingQuarter","game_id"
"tvN SPORTS","S45G01","부산 KCC",1,"20250330",0,97,250,"창원 LG","부산 KCC 이지스",72,"1400","143","lg","일","kcc","50",1,10044855,250,"60","T36","1543",45,"Busan Sajik Gymnasium","정규시즌","S45G01N250","부산사직","창원 LG 세이커스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N250"
"IB SPORTS","S45G01","대구 한국가스공사",1,"20250330",0,74,251,"서울 SK","대구 한국가스공사 페가수스",75,"1400","143","sk","일","pega","55",1,10044856,251,"64","T21","1543",45,"Daegue Gymnasium","정규시즌","S45G01N251","대구","서울 SK 나이츠",1,NA,"2024-2025","대구체육관","01","R","X","S45G01N251"
"tvN SPORTS","S45G01","서울 삼성",1,"20250330",0,85,252,"원주 DB","서울 삼성 썬더스",76,"1600","207","db","일","ss","16",1,10044858,252,"35","T36","1807",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N252","잠실실내","원주 DB 프로미",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N252"
NA,"S45G01","안양 정관장",1,"20250331",0,88,253,"수원 KT","안양 정관장 레드부스터스",85,"1900","157","kt","월","kgc","06",1,10044913,253,"70",NA,"2057",45,"Anyang Gymnasium","정규시즌","S45G01N253","안양 정관장 아레나","수원 KT 소닉붐",1,NA,"2024-2025","안양 정관장 아레나","01","R","X","S45G01N253"
"tvN SPORTS","S45G01","서울 삼성",1,"20250401",0,92,254,"대구 한국가스공사","서울 삼성 썬더스",61,"1900","141","pega","화","ss","64",1,10044935,254,"35","T36","2041",45,"Seoul Jamsil Gymnasium","정규시즌","S45G01N254","잠실실내","대구 한국가스공사 페가수스",1,NA,"2024-2025","잠실실내체육관","01","R","X","S45G01N254"
"tvN SPORTS","S45G01","부산 KCC",1,"20250402",0,85,255,"고양 소노","부산 KCC 이지스",98,"1900","208","sono","수","kcc","66",1,10044955,255,"60","T36","2108",45,"Busan Sajik Gymnasium","정규시즌","S45G01N255","부산사직","고양 소노 스카이거너스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N255"
"IB SPORTS","S45G01","창원 LG",1,"20250403",0,62,256,"안양 정관장","창원 LG 세이커스",77,"1900","151","kgc","목","lg","70",1,10044968,256,"50","T21","2051",45,"Changwon Gymnasium","정규시즌","S45G01N256","창원체육관","안양 정관장 레드부스터스",1,NA,"2024-2025","창원체육관","01","R","X","S45G01N256"
"tvN SPORTS","S45G01","울산 현대모비스",1,"20250403",0,71,257,"수원 KT","울산 현대모비스 피버스",91,"1900","143","kt","목","hd","06",1,10044969,257,"10","T36","2043",45,"Dongcheon Gymnasium","정규시즌","S45G01N257","울산동천","수원 KT 소닉붐",1,NA,"2024-2025","울산동천체육관","01","R","X","S45G01N257"
"IB SPORTS","S45G01","부산 KCC",1,"20250404",0,91,258,"서울 삼성","부산 KCC 이지스",83,"1900","143","ss","금","kcc","35",1,10044999,258,"60","T21","2043",45,"Busan Sajik Gymnasium","정규시즌","S45G01N258","부산사직","서울 삼성 썬더스",1,NA,"2024-2025","부산사직체육관","01","R","X","S45G01N258"
NA,"S45G01","고양 소노",1,"20250404",0,70,259,"원주 DB","고양 소노 스카이거너스",86,"1900","150","db","금","sono","16",1,10045000,259,"66",NA,"2050",45,"GOYANG SONO ARENA","정규시즌","S45G01N259","고양 소노 아레나","원주 DB 프로미",1,NA,"2024-2025","고양 소노 아레나","01","R","X","S45G01N259"
